tip,date,distance,residual
DW315_2020.74,2020,5.02E-04,3.78E-06
M2341_1991,1991,4.24E-04,-2.89E-05
DW050_2021.25,2021,6.84E-04,1.84E-04
DW098_2021.33,2021,7.58E-04,2.59E-04
DW394_2020.61,2020,7.52E-04,2.54E-04
DW289_2020.46,2020,7.62E-04,2.64E-04
DW140_2021.41,2021,6.40E-04,1.40E-04
M6285_1997,1997,5.68E-04,1.07E-04
M6604_2009,2009,5.90E-04,1.10E-04
DW452_2020.61,2020,5.79E-04,8.13E-05
DW432_2020.42,2020,4.54E-04,-4.38E-05
M6475_2006,2006,4.31E-04,-4.41E-05
M6257_2004,2004,4.32E-04,-4.07E-05
DW097_2021.33,2021,5.58E-04,5.88E-05
DW284_2020.43,2020,4.99E-04,8.00E-07
DW305_2020.65,2020,5.14E-04,1.58E-05
DW395_2020.63,2020,4.77E-04,-2.13E-05
DW337_2022.72,2020,5.12E-04,1.07E-05
DW345_2021.64,2021,5.04E-04,4.48E-06
DW409_2020.96,2020,5.77E-04,7.81E-05
M6593_2008,2008,4.73E-04,-5.94E-06
DW450_2020.57,2020,4.36E-04,-6.26E-05
DW128_2021.39,2021,4.29E-04,-7.05E-05
DW282_2020.41,2020,3.85E-04,-1.12E-04
DW166_2021.5,2021,5.17E-04,1.75E-05
M6280_1997,1997,5.92E-04,1.31E-04
M6286_2001,2001,4.25E-04,-4.33E-05
DW081_2021.3,2021,4.53E-04,-4.67E-05
DW293_2020.5,2020,4.30E-04,-6.76E-05
DW310_2020.67,2020,4.34E-04,-6.47E-05
DW489_2015.24,2015,4.13E-04,-7.69E-05
DW296_2020.54,2020,4.44E-04,-5.39E-05
DW356_2020.86,2020,4.61E-04,-3.78E-05
DW277_2020.3,2020,5.64E-04,6.59E-05
DW318_2020.88,2020,4.60E-04,-3.85E-05
DW295_2020.52,2020,4.37E-04,-6.05E-05
DW441_2020.48,2020,4.37E-04,-6.05E-05
DW482_2014.8,2014,4.29E-04,-6.05E-05
DW433_2020.33,2020,4.34E-04,-6.39E-05
DW383_2020.46,2020,4.40E-04,-5.84E-05
DW488_2015.53,2015,3.51E-04,-1.39E-04
