FILE	missing	percentage
DW483	1129	0.6414772727272727
DW293	1131	0.6426136363636363
DW269	1133	0.64375
DW344	1133	0.64375
DW325	1140	0.6477272727272727
DW315	1140	0.6477272727272727
DW414	1141	0.6482954545454546
DW276	1142	0.6488636363636364
DW282	1146	0.6511363636363636
DW405	1147	0.6517045454545455
DW370	1148	0.6522727272727273
DW401	1148	0.6522727272727273
DW337	1149	0.6528409090909091
DW313	1150	0.6534090909090908
DW342	1150	0.6534090909090908
DW351	1151	0.6539772727272728
DW013	1163	0.6607954545454545
DW141	1169	0.6642045454545454
DW286	1169	0.6642045454545454
DW365	1174	0.6670454545454545
DW283	1177	0.66875
DW349	1179	0.6698863636363637
DW287	1181	0.6710227272727273
DW374	1184	0.6727272727272727
DW278	1189	0.6755681818181818
DW487	1200	0.6818181818181819
